Binance Futures Report 
Coin 	BuyDate 	CloseDate 	BuyPrice 	SellPrice 	ProfitUSDT 	Profit 	ProfitAbs 	Lev 	Comment 	SellReason 	Status 	dBTC 	d24BTC 	dM24 	Pump1H 	Dump1H 	d3h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
IOTX 	2021-11-14 03:01:33 	2021-11-14 03:01:34 	0.21198000 	0.21346000 	0.66 	13.2% 	13.16% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 15 Sys: 41  AppLatency: 0.1 sec  API Req: 639 / 2400   API Orders: 29 / 1200   Orders 10S: 4 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 383 / 383  Ping: 15 / 17 	Sell Price 	done 	0.15 	1.44 	1.34 	5.73 	4.21 	10.01 	4.32 	3.5 	2.76 	0.19 	0 	0 	0.0 	0.0
KEEP 	2021-11-14 01:01:31 	2021-11-14 01:01:35 	1.02890000 	1.02250000 	-0.68 	-34.1% 	-34.08% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 44  AppLatency: 0.0 sec  API Req: 551 / 2400   API Orders: 21 / 1200   Orders 10S: 5 / 300  PriceLag: 0.01% (KNC PriceLag: 0.03%) Latency: 283 / 283  Ping: 16 / 16 	StopLoss AutoActivated on price drop: BID = 1.0224 BidEMA: 1.0224 LastPrice = 1.0230 BuyPrice = 1.0289 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 1.0238 All 	done 	-0.04 	0.43 	0.74 	6.38 	4.74 	38.25 	6.74 	3.92 	1.99 	0.06 	0 	0 	0.0 	0.0
KEEP 	2021-11-13 19:35:47 	2021-11-13 19:35:48 	0.72610000 	0.73120000 	0.66 	33.1% 	33.11% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 25  AppLatency: 0.0 sec  API Req: 845 / 2400   API Orders: 30 / 1200   Orders 10S: 5 / 300  PriceLag: 0.01% (CRV PriceLag: 0.01%) Latency: 255 / 255  Ping: 11 / 10 	Sell Price 	done 	-0.02 	1.15 	1.95 	9.16 	0.05 	9.23 	7.12 	3.33 	2.07 	0.03 	0 	0 	0.0 	0.0
FTM 	2021-11-13 18:39:53 	2021-11-13 18:39:57 	2.66424000 	2.67223000 	0.26 	13.0% 	12.99% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 24  AppLatency: 0.0 sec  API Req: 968 / 2400   API Orders: 26 / 1200  PriceLag: 0.01% (KLAY PriceLag: 0.03%) Latency: 275 / 275  Ping: 10 / 10 	Auto Price Down 	done 	0.12 	1.53 	2.07 	2.27 	0.55 	3.79 	1.47 	1.25 	1.25 	0.08 	0 	0 	0.0 	0.0
MASK 	2021-11-12 18:42:22 	2021-11-12 18:42:26 	14.25290000 	14.25090000 	-0.07 	-1.5% 	-1.48% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 42  AppLatency: 0.1 sec  API Req: 479 / 2400   API Orders: 73 / 1200   Orders 10S: 4 / 300  PriceLag: 0.02% (ARPA PriceLag: 0.03%) Latency: 219 / 219  Ping: 12 / 11 	StopLoss AutoActivated on price drop: BID = 14.239 BidEMA: 14.239 LastPrice = 14.243 BuyPrice = 14.253 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 14.253 All 	done 	-0.88 	-3.22 	-4.18 	1.84 	2.01 	4.63 	2.42 	2.54 	1.85 	0.32 	0.33 	0 	0.0 	0.0
TLM 	2021-11-12 11:31:34 	2021-11-12 11:31:38 	0.25280000 	0.25360000 	0.28 	5.5% 	5.53% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 11 Sys: 54  AppLatency: 0.1 sec  API Req: 726 / 2400   API Orders: 157 / 1200   Orders 10S: 21 / 300  PriceLag: 0.02% (XEM PriceLag: 0.03%) Latency: 228 / 228  Ping: 11 / 10 	Auto Price Down 	done 	-0.94 	-1.27 	-2.82 	1.54 	2.25 	5.22 	3.71 	3.01 	1.86 	0.31 	0 	0 	0.0 	0.0
LRC 	2021-11-12 06:12:08 	2021-11-12 06:12:14 	3.06305000 	3.07224000 	0.26 	13.0% 	13.0% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 23  AppLatency: 0.0 sec  API Req: 144 / 2400   API Orders: 10 / 1200   Orders 10S: 9 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 207 / 207  Ping: 10 / 10 	Auto Price Down 	done 	-0.16 	-0.26 	0.39 	0.04 	6.57 	17.61 	1.97 	1.78 	1.44 	0.02 	0 	0 	0.0 	0.0
CHR 	2021-11-12 02:21:12 	2021-11-12 02:21:17 	1.04120000 	1.03950000 	-0.22 	-11.2% 	-11.16% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 22  AppLatency: 0.0 sec  API Req: 252 / 2400   API Orders: 17 / 1200   Orders 10S: 4 / 300  PriceLag: 0.01% (ICP PriceLag: 0.01%) Latency: 243 / 243  Ping: 12 / 11 	StopLoss AutoActivated on price drop: BID = 1.0429 BidEMA: 1.0429 LastPrice = 1.0429 BuyPrice = 1.0412 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 1.0391 All 	done 	-0.19 	-0.17 	0.53 	0.1 	5.88 	6.05 	3.44 	3.27 	1.47 	0.12 	0 	0 	0.0 	0.0
LRC 	2021-11-11 13:49:11 	2021-11-11 13:49:14 	3.18100000 	3.17206000 	-1.02 	-17.0% 	-17.04% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 27  AppLatency: 0.0 sec  API Req: 227 / 2400   API Orders: 45 / 1200   Orders 10S: 4 / 300  PriceLag: 0.01% (DENT PriceLag: 0.01%) Latency: 245 / 245  Ping: 21 / 26 	StopLoss AutoActivated on price drop: BID = 3.1725 BidEMA: 3.1725 LastPrice = 3.1728 BuyPrice = 3.1810 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 3.1746 All 	done 	-0.14 	-1.35 	0.04 	1.28 	1.58 	11.4 	2.04 	1.75 	1.61 	0.15 	0 	0 	0.0 	0.0

